"Title";"Saga";"Genre";"Synopsis"
"After Burner";"After Burner";"shooter";"The goal is simple: use your F-14 Tomcat and shoot as many enemies as you can. This aircraft has two weapons: lock-on missiles and Vulcan cannons (basically machine guns). In some versions there is an option to let the cannons shoot automatically all the time., , This is a new text"
"Mortal Kombat";"Mortal Kombat";"vs. fighting";"Five hundred years ago, an ancient and well respected Shaolin fighting tournament, held every 50 years, was corrupted by an evil and elderly sorcerer by the name of Shang Tsung acompanied by Prince Goro, (a four-armed half-human / half-dragon). Knowing that if ten tournaments in a row were won by the Outworld champion, the Earth Realm would be conquered by evil and fall into darkness, Shang entered Goro in the tournament and had him defeat the great Kung Lao. Goro has been reigning supreme as the undefeated fighting champion for five hundred years now. As the last tournament required draws near, Raiden, Thunder God and protector of the Earth Realm, enacts a plan to tip the scales in the humans' favor, Seven fighters step into the arena on Shang Tsung's mysterious island: Shaolin warrior Liu Kang, Special Forces operative Sonya Blade, the mercenary thug Kano, fame-seeking actor Johnny Cage, the ice-wielding Lin Kuei warrior Sub-Zero and his undead adversary Scorpion, and Raiden himself."
"Mortal Kombat II";"Mortal Kombat";"vs. fighting";"Following his failure to defeat Liu Kang in the Mortal Kombat tournament, the evil Shang Tsung begs his master Shao Kahn, supreme ruler of Outworld and the surrounding kingdoms, to spare his life. He tells Shao Kahn that if they hold it in Outworld the invitation for the next Mortal Kombat cannot be turned down, and the Earthrealm warriors must attend. Kahn agrees to this plan and also restores Shang Tsung's youth. He then extends the invitation to the thunder god and Earthrealm's protector, Raiden, who gathers his warriors and takes them into Outworld. The new tournament is much more dangerous, as Shao Kahn has the home field advantage, and an Outworld victory will allow him to subdue Earthrealm."
"Operation Wolf";"Operation Wolf";"shooter";"You have been recruited for Operation Wolf, a desperate attempt to rescue prisoners from the enemy. Through a series of missions, you'll engage a variety of enemies, from soldiers to ninjas, patrol boats to helicopters, and more. Can you carry the day?"
"Doom";"Doom";"shooter";"The Union Aerospace Corporation has been experimenting with teleportation technology on Mars' moons Phobos and Deimos. After early successes, something goes wrong. It seems the scientists have opened a gateway straight to Hell. Phobos base is overrun with demonic creatures, and the whole of Deimos simply vanishes. A squad of marines is sent to Phobos, but all except one are quickly slaughtered. It falls to the surviving marine to grab some guns and strike back at the demons."
"Star Wars Arcade";"";"shooter";"Take control of either an X-Wing or Y-Wing, and are put right in the middle of the space combat. In some levels, you have to shoot down a specific number of TIE fighters before time runs out. In other levels, your goal is to simply to make it to the end without getting blasted out of the sky."
"Romance of the Three Kingdoms IV - Wall of Fire";"Romance of the Three Kingdoms";"strategy";"The Three Kingdoms era of Chinese history is the setting for this strategic war game. Select one of 38 leaders and guide your people to power by military or diplomatic means in an isometrically viewed world. Military tactics such as well-placed taunts and deliberate enemy confusion are on offer. Weaponry includes catapults and automatic-firing crossbows. "
"Primal Rage";"Primal Rage";"vs. fighting";"A meteor struck the Earth, and caused great chaos. Seven gods from ancient times awoke, and are now attempting to take control of the post-apocalyptic world."
"Blackthorne";"";"action";"The planet Tuul was a peaceful place, until the evil warrior Sarlac used the power of the Darkstone to take control. Blackthorne's father, the good King Vlaros, sent him to Earth just as his kingdom crumbled around him. Now, twenty years later, Blackthorne is grown and must return to Tuul to free it from the clutches of Sarlac."
"FIFA Soccer 96";"FIFA Soccer";"sports";"FIFA Soccer 96 is a football simulation. The game includes eleven leagues from all around the world, ranging from the unknown players of the Malaysian league to the celebrated stars of the English and Italian leagues. 59 International teams are also featured, and it's possible to match the teams you want to against each other through friendlies, or you can also choose to play domestic tournaments or International ones such as the World Cup. If you're not satisfied with the composition of the various teams, you can create your own dream team through the custom team creator., "
"Virtua Fighter";"Virtua Fighter";"vs. fighting";"Virtua Fighter is considered one of the progenitors of one-on-one fighting games with fully 3D environments and characters. The fighters and arenas are rendered in flat-shaded polygons. Unlike many fighting games, Virtua Fighter focuses on gameplay based on actual fighting styles, rather than outrageous special moves and storylines."
"Virtua Racing";"Virtua Racing";"racing";"Virtua Racing is Sega's first ever 3D, polygon-based racing game. The game consists of racing Formula-1-looking cars around a beginner, intermediate, or expert track, competing against a second player or computer drivers. Despite having Formula-1 cars, the game controls are very ""arcadey"" and players can see the leap they made from here to Daytona."
"Zaxxon's Motherbase 2000";"Zaxxon";"shooter";"you’re a pilot belonging to a group of rebels who have set out to destroy an evil faction called the Ginglii who are out to take over the universe and only you can stop them. "
"NBA Jam Tournament Edition";"NBA Jam";"sports";"""NBA Jam Tournament Edition"" brings you more senses-shattering slam dunking excitement than ever! More than twice as many NBA superstars, more than double the secret characters, Hot Spots, Super Jam Power-Ups, Autostat back-up and -OH MY- nine all-new rim-rattling slam dunks plus all the original jams! ""NBA Jam Tournament Edition"" it's on FIRE!!!"
"Brutal Unleashed - Above the Claw";"Brutal";"vs. fighting";"As with the original Brutal: Paws of Fury, the game involves a martial arts tournament set up by the Dalai Llama. A selection of 12 anthropomorphic animals are involved; choose from them for the cartoon-styled beat 'em up action. Characters each have their own fighting style, array of moves, and storyline. As you progress through the game, you unlock more moves for each character. There's also a progressive conquest mode which challenges you to take over the entire Brutal Island."
"Castlevania - Symphony of the Night";"Castlevania";"action, adventure";"Five years ago, Richter Belmont, the latest in the Belmont lineage and the one destined to be a Vampire Hunter, defeated Dracula in a brutal battle which nearly cost him the love of his life, Annette, and her sister, Maria. Now, Richter has suddenly vanished, Dracula's castle has mysteriously reappeared, and Maria, now a young woman, sets off to find Richter. Alucard, the son of Dracula, is awakened from his eternal slumber after this large shift in power, and enters into the castle to find some answers and confront his own father."
"WWF Wrestlemania";"";"vs. fighting";"WWF WrestleMania: The Arcade Game merges the personalities and action of the WWF TV show characters with a Mortal Kombat-style fighting game. This title features digitized graphics of 8 WWF superstars: Doink, Razor Ramon, Bret ""Hit Man"" Hart, Shawn Michaels, The Undertaker, Yokozuna, Bam Bam Bigelow, and Lex Luger. Although presented as a wrestling title, this game is structured like a one-on-one fighter, features over-the-top special moves characteristic of WWF. Each match is divided into a series of rounds, much like a fighting game. Instead of each round ending in a KO, it simply ends when the player forces the other wrestler(s) to fall by reducing their energy meter. Game modes include single player arcade mode, tournament mode, and versus mode for one-on-one multiplayer."
"Golf Magazine - 36 Great Holes Starring Fred Couples";"";"sports";"Take control of 24 different digitized golfers playing in 27 historic courses in the U.S. including Disney's Eagle Pines and Tidewater Golf Club, playing 36 authentic holes., There are seven different modes (Stroke Play, Tournament, Skins, Shoot-out, Scramble, Practice and Match Play) and three different types of golf club heads including wood, metal and graphite."
"Pitfall - The Mayan Adventure";"Pitfall";"platforms";"Action game in which you play adventurer Pitfall Harry Jr. in search of his father Pitfall Harry. You battle your way through the Mayan jungles, waterfalls, deserted mines and can bungee jump and boomerang your way to safety. There are 13 levels and the action is fast and gripping. You will need to be attentive—and quick. Or prepare to die."
"Metal Head";"";"action";"It has been five years after the formation of the Worldwide Federation. Although war has been averted, terrorist cells around the world threaten the stability of the federation. To combat this menace, the Federation has created a bi-pedal armored tank known as the Metal Head. You are a Metal Head pilot, and you have to use all the weapons at your disposal to take out the terrorists."
"Maniac Mansion";"Maniac Mansion";"graphic adventure";"The Edison mansion has always been a creepy old house on the edge of town. There have been rumors of strange experiments going on and of odd creatures living amongst the Edison family. There is even a story that a meteorite once crashed near the home nearly 20 years ago. More immediately, a girl named Sandy has gone missing from the local high school and her boyfriend Dave swears that he saw Dr. Fred abducting her. Dave knows that he cannot do it alone and will need help from two other students if he has any hope of infiltrating the mansion and rescuing Sandy."
"Star Trek Starfleet Academy - Starship Bridge Simulator";"";"management, simulation";"Command the Starfleet's finest vessels and pilot your way through dozens of stunning scenarios. Sneak through a Klingon gauntlet to rescue thousands of colonists... or lose your whole crew in a warp core breach. Can you master the legendary Kobayashi Maru scenario?"
"The Secret of Monkey Island";"The Secret of Monkey Island";"graphic adventure";"Deep in the Caribbean lies Melee Island, ruled by the governor Elaine Marley. The cruel pirate LeChuck is deeply in love with her - so deeply that he refuses to accept his own death. As a ghost, he dwells with his undead crew somewhere near the mysterious Monkey Island. Meanwhile, a young fellow named Guybrush Threepwood is determined to become a real pirate. At the Scumm Bar he meets three pirates who tell him he has to complete three difficult tasks in order to be worthy of this title."
"Final Fight";"Final Fight";"brawler";"The streets of Metro City are filled with criminals who are part of a gang called Mad Gear. Former wrestler and newly elected mayor Mike Haggar tries to do something about it, much to the displeasure of the Mad Gear Gang who kidnap his daughter Jessica. Only three people are brave enough to venture into the crime-infested streets and try to bring Jessica back."
"Super Mario World";"Super Mario Bros.";"platforms";"Mario is having a vacation in Dinosaur Land when he learns that Princess Peach Toadstool has been kidnapped by the evil King Koopa Bowser. When Mario starts searching for her he finds a giant egg with a dinosaur named Yoshi hatching out of it. Yoshi tells Mario that his fellow dinosaurs have been imprisoned in eggs by Bowser's underlings. The intrepid plumber has to travel to their castles, rescue the dinosaurs, and eventually face King Koopa himself, forcing him to release the princess., "
"Super Mario Kart";"Mario Kart";"racing";"A collection of Super Mario characters, including Mario, Luigi, Yoshi, Peach, Bowser and Donkey Kong Jr., are out to win the Super Mario Kart championship. The first true kart game that has you collecting coins to boost your speed while using shells and bananas to stop others on the track., "
"Super Castlevania IV";"Castlevania";"action";"Set in the year 1691, the game casts the player in the role of Simon Belmont, a vampire hunter armed with a powerful whip, on a quest to defeat the evil Count Dracula in his castle. Despite the identical plot, the six castle stages have different layouts and themes; also, five initial stages that depict Simon's advancement towards the castle through various environments have been added."
"Castlevania - Aria of Sorrow";"Castlevania";"action, adventure";"Normally a solar eclipse isn't a dangerous event, but for Soma Cruz being sucked through a portal and into Dracula's castle during one will turn his day into a total nightmare. As Soma you must venture through the castle and find a way out. As you do so, you will discover the true meaning behind the event, and why Dracula has risen yet again."
"Castlevania - Harmony of Dissonance";"Castlevania";"action, adventure";"Juste Belmont and friend Maxim are drawn to the newly resurrected Dracula's Castle in order to save their mutual friend Lydie, although it remains to be seen who will be saving whom."
"Castlevania";"Castlevania";"action";"Every hundred years, the dark vampire known as Dracula resurrects and terrorizes the land. A vampire hunter named Simon Belmont bravely ventures into the Count's mansion in order to defeat him. Along the way he'll have to defeat skeletons, bats, fishmen, medusa heads and other evil creatures."
"Castlevania II - Simon's Quest";"Castlevania";"action, adventure";"After the vampire killer Simon Belmont destroyed Count Dracula in the previous game, an evil curse possessed him. The only way Simon can break the count's curse is to find five of Dracula's body parts (which are mysteriously strewn throughout Transylvania) and burn them. "
"Castlevania - Circle of the Moon";"Castlevania";"action, adventure";"Count Dracula has been resurrected and evil will reign supreme unless he is stopped. As Nathan Graves, you'll hunt down the Count and use your whip and a variety of special items to destroy his minions. Battle your way through Dracula's castle and rid the world of his evil once again."
"Castlevania III - Dracula's Curse";"Castlevania";"action, adventure";"Taking place 100 years before the events of Castlevania 1 and Castlevania 2, Dracula the Vampire has risen up to threaten the small village of Warakiya. Citizens who had banished the Belmont family now beg for Trevor Belmont's help in slaying Dracula. In his strange castle, Dracula has been assembling a massive army of undead creatures to sweep the Earth clean of life and bring everlasting darkness. Trevor agrees to help and equips his family's hereditary whip, the ""Vampire Slayer"", in order to destroy Dracula."
"Castlevania - Rondo of Blood";"Castlevania";"action, adventure";"Count Dracula, the evil Transylvanian vampire lord, is resurrected in the year 1792, a century after the brave vampire hunter Simon Belmont vanquished him. His demonic servant Shaft is sent to nearby village to kill men, abduct women, and set the village on fire. Richter Belmont, Simon's descendant, swears to free the women, among which is his fiancee Annette. He takes the Vampire Killer, a powerful whip he inherited from his ancestor, and enters the castle, hoping to put an end to the Dark Lord's reign."
"Tekken 3";"Tekken";"vs. fighting";"Tekken Force, a paramilitary organization protecting the Mishima karate fighters, is nearly obliterated by the might Ogre. Heihachi Mishima's only hope is his grandson Jin Kazama, who lives with his mother Jun, unaware of his legacy. When Ogre attacks his home and presumably kills his mother, Jin seeks out his grandfather and learns the martial arts of the family. On his nineteenth birthday, Heihachi announces the King of the Iron Fist Tournament 3, hoping to use Jin to remove Ogre out of his way."
"Tekken";"Tekken";"vs. fighting";"The powerful fighter Heihachi Mishima throws his five-year-old son Kazuya off a cliff, saying that the child will survive the fall if he is truly his son. The fatally wounded boy is approached by the Devil, who offers him his life and a chance to become a fearsome fighter in exchange for his soul. Determined to get even with his father, Kazuya agrees. Twenty-one years later Heihachi, now the head of a corrupt corporation, organizes a fighting championship his son is eager to join."
"Tekken 2";"Tekken";"vs. fighting";"Heihachi Mishima, the head of the powerful Mishima Zaibatsu, has been dethroned and defeated by his son Kazuya, backed and possessed by the Devil himself. Under his leadership, the organization has grown even more corrupt, and is involved in illegal animal experiments. An animal rights activist named Jun Kazama is sent to confront Kazuya. Meanwhile, Heihachi is plotting to overthrow his son. In attempt to draw his father out, Kazuya organizes the second King of the Iron Fist tournament."
