"Title";"Synopsis"
"Tekken";""
"After Burner";""
"Mortal Kombat";""
"Doom";""
"Romance of the Three Kingdoms";""
"Primal Rage";""
"FIFA Soccer";""
"Virtua Fighter";""
"Virtua Racing";""
"Zaxxon";""
"NBA Jam";""
"Castlevania";"Castlevania is a series of action games by Konami. The series' setting and plot elements are loosely based on Bram Stoker's novel Dracula, focusing on the titular fictional character. Most of the protagonists in the series belong to the Belmont family and are vampire hunters who venture into Dracula's castle with the goal of defeating the powerful vampire following one of his resurrections. The games usually take place in a dark castle and its surroundings, which are populated by horror-themed enemies. "
"Maniac Mansion";""
"The Secret of Monkey Island";"Series of comedy adventure games set in fictional 18th century-like Caribbean Islands, telling the story of the young wannabe-pirate Guybrush Threepwood. The series was originally envisioned as a trilogy by the main designer Ron Gilbert, but he only completed the first two games; the third and the fourth were made without his participation. The latter signified the conclusion of the original series, being the last one developed by LucasArts."
"Double Dragon";""
"Thunder Force";""
"Metal Gear";""
"Super Star Wars";"Action games based on the original Star Wars trilogy (episodes IV, V, and VI) with primarily platformer-style gameplay."
"Raiden";""
"Art of Fighting";""
"Street Fighter";""
"Gradius";"Gradius is a series of futuristic scrolling shoot-'em-ups which take place in outer space. One of the hallmarks of this series is the power meter. The power meter is typically a bar that highlights selectable options (weapons, shields, etc.) as power-ups are collected. The more power-ups collected, the more powers that are selectable. Players can hold off selecting a power until the one they want becomes available. If a power is selected again for a second or third time, it becomes even more effective. This meter allows the player to customize their spaceships powers to a degree."
"The Last Blade";""
"Speedball";""
"Xenon";""
"Streets of Rage";""
"Metal Slug";"A long running series of side-scrolling run and gun shooters. The majority of the games feature Marco Rossi of the Peregrine Falcon Special Forces Squad. The games usually deal with battling against General Morden's army, although some games deal with protecting Earth from an extraterrestrial menace."
"Ghosts'n Goblins";""
"Tomb Raider";"Tomb Raider is a series of action games with platforming and puzzle-solving elements, featuring a recurrent heroine, an archaeologist named Lara Croft. Most of the games in the series involve Lara traversing complex and hazardous locations, solving environmental puzzles and using abilities such as jumping and climbing to access new areas. Lara's trademark weapons are twin pistols with unlimited ammunition; however, she can usually find other weapons and items to help her deal with enemies."
"Final Fantasy";""
"OutRun";"SEGA's long-running series of route-forking competitive automobile-driving simulators, inspired and derived from AM2's arcade original."
"Dungeons & Dragons - Chronicles of Mystara";""
"The King of Fighters";""
